route,route_time,percentage_comp_stops,benefit,walking_distance,compulsory_stops,requests,used-nodes,unused_nodes,unserved_requests,served_requests,optional_stops_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
195,13:21:00,0.4,1000,700,10,41,21,21,28,13,11,2140.0980225483145,9493.166,,0.0003819465637207031,,3506.8340000000007
194,07:10:00,0.4,1000,700,10,51,17,25,43,8,7,2236,9315.881000000001,,0.0004761219024658203,,-1315.8810000000012
155,07:44:30,1,1000,700,13,45,12,25,41,4,-1,1770,7060.512,,0.0001590251922607422,,-3060.5119999999997
192,14:50:30,1,1000,700,15,53,17,29,39,14,2,1817,7896.997,,0.0003287792205810547,,6103.003
185,15:27:00,0.2,1000,700,4,26,10,20,20,6,6,2036.6390032211857,8062.864,,0.00025200843811035156,,-2062.8639999999996
191,13:41:30,1,1000,700,15,23,15,11,16,7,0,1342,5202.024684128705,,9.107589721679688e-05,,1797.9753158712947
199,13:24:30,0.2,1000,700,5,29,9,18,26,3,4,2873,11264.545999999998,,0.0002090930938720703,,-8264.545999999998
187,16:47:00,1,1000,700,30,41,30,26,25,16,0,3289,12328.012,,0.00024390220642089844,,3671.9879999999994
193,13:30:30,0.2,1000,700,4,48,9,31,43,5,5,1501.1195866141788,6899.166999999999,,0.0003819465637207031,,-1899.1669999999986
192,14:50:30,0,1000,700,2,51,12,30,43,8,10,0,9046.92,,0.0005009174346923828,,-1046.92
155,07:44:30,0,1000,700,2,42,8,29,38,4,6,0.0,8372.874,,0.0003330707550048828,,-4372.874
192,14:50:30,0,1000,700,2,53,10,33,47,6,8,0,8895.24,,0.0004210472106933594,,-2895.24
155,07:44:30,0,1000,700,2,45,5,31,43,2,3,0,7686.358000000001,,0.0002319812774658203,,-5686.358000000001
193,13:30:30,0.2,1000,700,4,46,8,29,41,5,4,1494,6582.705000000001,,0.00032401084899902344,,-1582.7050000000008
199,13:24:30,0.2,1000,700,5,32,12,18,26,6,7,2873,12305.138,,0.0002970695495605469,,-6305.138000000001
191,13:41:30,1,1000,700,15,23,14,12,18,5,-1,1342,5202.024684128705,,7.987022399902344e-05,,-202.0246841287053
155,07:44:30,1,1000,700,13,42,12,28,34,8,-1,1770,7060.512,,0.00014519691467285156,,939.4880000000003
192,14:50:30,1,1000,700,15,51,17,27,34,17,2,1807.3691392269175,7944.331999999999,,0.00029921531677246094,,9055.668000000001
194,07:10:00,0.4,1000,700,10,51,18,18,36,15,8,2236,9397.664,,0.0004322528839111328,,5602.335999999999
187,16:47:00,0,1000,700,2,41,11,36,36,5,9,0,14289.853000000003,,0.0003161430358886719,,-9289.853000000003
198,10:24:30,0.4,1000,700,4,18,4,13,14,4,0,290,2855.712,,9.322166442871094e-05,,1144.288
195,13:21:00,0.4,1000,700,10,41,20,24,31,10,10,2132.0296170365036,9863.511,,0.0005040168762207031,,136.48899999999958
193,08:16:30,0.2,1000,700,3,46,9,25,36,10,6,1266,6052.169999999999,,0.00037598609924316406,,3947.830000000001
191,13:41:30,0,1000,700,2,23,6,17,20,3,4,0,5394.945684128706,,0.00013208389282226562,,-2394.9456841287056
187,16:47:00,0.4,1000,700,13,45,23,27,32,13,10,2515,12951.327999999998,,0.0005049705505371094,,48.6720000000023
155,13:50:00,0.4,1000,700,7,32,13,16,23,9,6,1500,6607.722,,0.00026702880859375,,2392.2780000000002
187,13:47:00,1,1000,700,30,40,30,25,31,9,0,3289,12328.012,,0.0002498626708984375,,-3328.0120000000006
194,15:17:30,0.2,1000,700,5,50,10,25,46,4,5,1652,9501.628,,0.0003440380096435547,,-5501.628000000001
198,19:44:00,0.4,1000,700,4,24,7,14,18,6,3,686,3464.2480000000005,,0.00019216537475585938,,2535.7519999999995
199,16:04:00,0.2,1000,700,5,42,13,24,36,6,8,2370,12643.448,,0.00039196014404296875,,-6643.448
185,07:21:00,0.2,1000,700,6,89,25,42,76,13,19,3185.183294559767,14929.249,,0.001302957534790039,,-1929.2489999999998
191,07:22:00,0.4,1000,700,6,33,13,19,27,6,7,1194,5343.026734896091,,0.0002543926239013672,,656.9732651039094
55,18:56:00,0,1000,700,2,59,13,46,52,7,11,0.0,22887.309,,0.0006248950958251953,,-15887.309000000001
191,13:41:30,0.4,1000,700,7,21,8,15,19,2,1,1342,5095.779684128705,,0.00010013580322265625,,-3095.7796841287054
187,13:47:00,0,1000,700,2,41,12,37,35,6,10,0,14630.084,,0.00037407875061035156,,-8630.084
187,13:47:00,0.4,1000,700,13,37,21,25,27,10,8,2407,12254.721,,0.000308990478515625,,-2254.7209999999995
192,08:28:00,0.2,1000,700,3,34,8,24,30,4,5,1424.99351288475,8437.003,,0.0002818107604980469,,-4437.003000000001
187,16:47:00,0.2,1000,700,7,46,17,31,38,8,10,2299.9743199713703,12062.506000000001,,0.0005691051483154297,,-4062.506000000001
55,15:58:00,1,1000,700,23,71,26,34,51,20,3,3924.4107462419415,15415.690000000002,,0.0004699230194091797,,4584.309999999998
191,07:22:00,0,1000,700,2,34,7,22,30,4,5,0,5994.113734896089,,0.00023174285888671875,,-1994.1137348960892
195,13:21:00,0.2,1000,700,5,41,16,25,32,9,11,2140.0980225483145,9934.884000000002,,0.0004661083221435547,,-934.8840000000018
198,10:24:30,0.2,1000,700,3,17,4,15,16,1,1,290,2855.712,,7.581710815429688e-05,,-1855.712
195,13:21:00,0,1000,700,2,41,12,33,35,6,10,0,10949.091,,0.0003819465637207031,,-4949.091
194,07:10:00,0.2,1000,700,5,51,15,24,41,10,10,2079,9780.432999999999,,0.0005140304565429688,,219.56700000000092
198,10:24:30,1,1000,700,8,17,8,12,15,2,0,677,2855.712,,8.702278137207031e-05,,-855.712
199,13:24:30,1,1000,700,20,29,20,14,22,7,0,2873,11183.928,,0.00014901161193847656,,-4183.928
55,15:58:00,0,1000,700,2,71,11,44,66,5,9,0.0,18316.812,,0.0006520748138427734,,-13316.812000000002
185,15:27:00,0.4,1000,700,8,26,15,16,19,7,7,2021,8410.349999999999,,0.000286102294921875,,-1410.3499999999985
